Tahun Rilis,Rank,Nama Game,Diskon,Harga,Rating,Tanggal Rilis,Followers,Online Saat Ini,Peak Pemain
2019,1598.,PC Building Simulator,0%,Rp 165999,91.96%,29 Jan,"170,898",145,"3,884"
2019,1659.,Sid Meier's Civilization® VI: Gathering Storm,0%,Rp 299999,66.10%,14 Feb,—,—,—
2019,1669.,CUSTOM ORDER MAID 3D2 It's a Night Magic,0%,Rp 169999,79.74%,31 Jul,"34,177",8,311
2019,1754.,Blasphemous - Digital Artbook,-50%,Rp 19999,84.46%,10 Sep,—,—,—
2019,1798.,Baba Is You,0%,Rp 95999,95.45%,13 Mar,"42,245",168,"1,533"
2019,1806.,Pacify,0%,Rp 47499,85.02%,22 Feb,"65,007",67,"3,173"
2019,1810.,3dSen VR,-40%,Rp 124199,84.75%,04 Jun,"2,099",2,9
2019,1830.,The Jackbox Party Pack 6,0%,Rp 245999,91.03%,17 Oct,"12,806",161,"6,630"
2019,1857.,Total War: THREE KINGDOMS - Yellow Turban Rebellion,-66%,Rp 27199,60.40%,23 May,—,—,—
2019,1871.,FINAL FANTASY VIII - REMASTERED,0%,Rp 285000,71.38%,03 Sep,"24,514",209,"3,068"
2019,1876.,Descenders,0%,Rp 119999,92.10%,07 May,"29,661",158,"1,954"
2019,1896.,We Were Here Together,0%,Rp 114999,81.76%,10 Oct,"48,120",85,"2,930"
2019,1922.,Phoenix Wright: Ace Attorney Trilogy,0%,Rp 239999,95.60%,09 Apr,"69,315",837,"4,724"
2019,1951.,Fisher Online,-40%,Rp 73799,81.12%,27 Oct,"8,940",169,"2,196"
2019,1952.,Atelier Lulua ~The Scion of Arland~,-67%,Rp 294690,84.76%,20 May,"10,515",16,516
2019,1959.,Day of Dragons,0%,Rp 165999,65.10%,04 Dec,"29,066",137,"3,357"
2019,1965.,Spyro™ Reignited Trilogy,0%,Rp 599000,91.75%,03 Sep,"47,305",234,"4,198"
2019,1972.,Blair Witch,-80%,Rp 27999,76.90%,30 Aug,"26,070",18,"1,716"
2019,1973.,Dead by Daylight - Ash vs Evil Dead,-50%,Rp 27445,73.87%,02 Apr,—,—,—
2020,21.,Apex Legends™,0%,Free,66.88%,05 Nov,"565,075","54,231","624,473"
2020,62.,Cyberpunk 2077,0%,Rp 699999,83.90%,10 Dec,"1,491,400","23,159","1,054,388"
2020,77.,Fallout 76,0%,Rp 532000,72.20%,14 Apr,"149,968","6,863","73,368"
2020,85.,DJMAX RESPECT V,-80%,Rp 138000,85.64%,12 Mar,"63,777",643,"5,413"
2020,94.,Factorio,0%,Rp 300000,95.86%,14 Aug,"394,938","15,043","118,674"
2020,106.,Phasmophobia,0%,Rp 165999,95.03%,18 Sep,"419,965","13,620","112,717"
2020,113.,Crusader Kings III,0%,Rp 536999,88.86%,01 Sep,"288,867","12,010","98,872"
2020,118.,Deep Rock Galactic,-67%,Rp 46199,96.24%,13 May,"2,712,239","6,929","54,160"
2020,135.,EA Play,0%,Rp 87000,—,31 Aug,"9,413",—,—
2020,166.,Sea of Thieves: 2025 Edition,0%,Rp 449000,88.41%,03 Jun,"441,149","4,749","66,906"
2020,205.,Grand Theft Auto IV: The Complete Edition,-70%,Rp 63000,81.56%,24 Mar,"172,996","2,928","11,696"
2020,207.,Risk of Rain 2,0%,Rp 119999,92.40%,11 Aug,"325,722","7,463","75,406"
2020,238.,Conqueror's Blade,0%,Free,67.59%,06 Apr,"67,775","2,187","19,178"
2020,243.,Golf With Your Friends,-70%,Rp 32699,86.75%,19 May,"82,860","1,759","20,750"
2020,267.,STAR WARS™: Squadrons,-90%,Rp 47900,64.87%,02 Oct,"95,836",173,"36,492"
2020,312.,Wingspan,-60%,Rp 67600,91.63%,17 Sep,"31,688","1,035","1,488"
2020,315.,Squad,0%,Rp 375999,82.34%,23 Sep,"700,090","7,141","38,573"
2020,321.,ULTRAKILL,0%,Rp 206999,96.44%,03 Sep,"111,313","2,842","28,076"
2020,334.,KARDS - The WW2 Card Game,0%,Free,72.32%,15 Apr,"32,148","3,493","8,966"
2020,357.,Microsoft Flight Simulator (2020) 40th Anniversary Edition,0%,Rp 790000,77.86%,18 Aug,"149,994","3,101","61,829"
2020,409.,Borderlands 3,0%,Rp 555000,80.23%,13 Mar,"213,739","6,604","93,820"
2020,424.,DRAGON BALL Z: KAKAROT,-77%,Rp 160770,91.61%,16 Jan,"156,284",605,"25,852"
2020,433.,Hades,0%,Rp 206999,97.14%,17 Sep,"293,641","2,621","54,240"
2020,458.,RuneScape ®,0%,Free,80.95%,14 Oct,"52,197","2,265","12,569"
2020,467.,Outer Wilds,0%,Rp 199999,94.19%,18 Jun,"161,350",782,"7,936"
2020,543.,Detroit: Become Human,0%,Rp 420000,94.58%,18 Jun,"209,444","1,165","21,221"
2020,570.,Senren＊Banka,-43%,Rp 91199,96.68%,14 Feb,"69,784",470,"3,013"
2020,584.,theHunter: Call of the Wild™ - Silver Ridge Peaks,-60%,Rp 29600,69.83%,23 Jun,—,—,—
